Judul Artikel,Jumlah Kemunculan
Analisis kualitas layanan pada aplikasi Mobile JKN dengan tingkat kepuasan pengguna Mobile JKN BPJS Kesehatan di Kabupaten Demak,2
Analisis Penggunaan Aplikasi Mobile JKN dengan Metode EUCS,2
Penggunaan metode heuristic evaluation sebagai analisis evaluasi user interface dan user experience pada aplikasi bca mobile,2
Analisis Sentimen Ulasan Aplikasi Jamsostek Mobile Menggunakan Metode Support Vector Machine,2
Perancangan user experience aplikasi mobile Majuli menggunakan metode design thinking,2
Aplikasi Mobile JKN untuk Memudahkan Akses Pelayanan BPJS,2
Machine learning and deep learning: C. Janiesch et al.,1
An overview of machine learning classification techniques,1
Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,1
Pemanfaatan machine learning di bidang kesehatan,1
Penerapan Teknologi Machine Learning dalam Deteksi Dini Penyakit Pada Tanaman Pangan,1
A survey on dataset quality in machine learning,1
Using machine learning to detect misstatements,1
What is machine learning?,1
Causality for machine learning,1
Machine learning for microbiologists,1
A survey of human-in-the-loop for machine learning,1
Challenges in deploying machine learning: a survey of case studies,1
"Penerapan artificial intelligence, machine learning dan deep learning pada Kurikulum Akuntansi-A systematic literature review",1
Machine learning for biochemical engineering: A review,1
Financial machine learning,1
Penerapan Machine Learning dengan Algoritma Logistik Regresi untuk Memprediksi Diabetes,1
Penerapan machine learning dengan algoritma support vector machine untuk prediksi kelembapan udara rata-rata,1
Penerapan Machine Learning dengan Konsep Data Mining Rough Set (Prediksi Tingkat Pemahaman Mahasiswa terhadap Matakuliah),1
Cyber risk and cybersecurity: a systematic review of data availability,1
Pengujian aplikasi berbasis web data SKA menggunakan metode Black Box Testing,1
MiBiOmics: an interactive web application for multi-omics data exploration and integration,1
Machine learning: new ideas and tools in environmental science and engineering,1
Penerapan Metode Machine Learning dalam Klasifikasi Risiko Kejadian Berat Badan Lahir Rendah di Indonesia,1
Penerapan Machine Learning menggunakan algoritma C4. 5 berbasis PSO dalam Menganalisa Data Siswa Putus Sekolah,1
Machine learning based diabetes prediction and development of smart web application,1
Securing web applications against XSS and SQLi attacks using a novel deep learning approach,1
BEST: a web application for comprehensive biomarker exploration on large-scale data in solid tumors,1
A comparative study of web application security parameters: Current trends and future directions,1
Signature-based and machine-learning-based web application firewalls: A short survey,1
A systematic literature review on the characteristics and effectiveness of web application vulnerability scanners,1
DeepVenn--a web application for the creation of area-proportional Venn diagrams using the deep learning framework Tensorflow. js,1
Atomistica. online–web application for generating input files for ORCA molecular modelling package made with the Anvil platform,1
Web application development with streamlit,1
Rancang Bangun Web Service Api Aplikasi Sentralisasi Produk Umkm Pada Uptd Plut Kumkm Provinsi Lampung,1
Perancangan Aplikasi Pemesanan Makanan Berbasis Web,1
Pengembangan Aplikasi Reservasi Salon Keshoo Berbasis Web,1
Rancang Bangun Aplikasi Computer Based Test Berbasis Web Pada Smpn 1 Katapang Kabupaten Bandung Selatan,1
Manajemen keamanan cyber di era digital,1
Analysis of cyber security knowledge gaps based on cyber security body of knowledge,1
Artificial intelligence-based cyber security in the context of industry 4.0—a survey,1
"Review on cyber-physical and cyber-security system in smart grid: Standards, protocols, constraints, and recommendations",1
A comprehensive review study of cyber-attacks and cyber security; Emerging trends and recent developments,1
Cyber resilience and cyber security issues of intelligent cloud computing systems,1
The recent trends in cyber security: A review,1
Evaluating the cyber security readiness of organizations and its influence on performance,1
Deep reinforcement learning for cyber security,1
"Cyber security, cyber threats, implications and future perspectives: A Review",1
Role of AI and its impact on the development of cyber security applications,1
"Artificial intelligence in cyber security: Research advances, challenges, and opportunities.",1
"Cyber security: State of the art, challenges and future directions",1
The role of user behaviour in improving cyber security management,1
Artificial intelligence in cyber security,1
Cyber security in the age of COVID-19: A timeline and analysis of cyber-crime and cyber-attacks during the pandemic,1
Cybersecurity of industrial cyber-physical systems: A review,1
"Navigating the cyber security landscape: A comprehensive review of cyber-attacks, emerging trends, and recent developments",1
Counterattacking cyber threats: A framework for the future of cybersecurity,1
Cyber security in the metaverse,1
Strategi Keamanan Siber Malaysia,1
Transformasi digital dan keamanan siber: Upaya penanggulangan kejahatan di era teknologi di Indonesia,1
Analisis dan peningkatan keamanan cyber: Studi kasus ancaman dan solusi dalam lingkungan digital untuk mengamankan objek vital dan file,1
Serangan cyber dan kesiapan keamanan cyber terhadap bank indonesia,1
The role of mobile application acceptance in shaping e-customer service,1
Augmented reality technology adoption: Case of a mobile application in Turkey,1
Analisis Technology Acceptance Model (TAM) Terhadap Pengguna Aplikasi Mobile Banking,1
A study of mobile app use for teaching and research in higher education,1
What works best to engage participants in mobile app interventions and e-health: a scoping review,1
A survey of performance optimization for mobile applications,1
Determinants of mobile apps adoption among young adults: theoretical extension and analysis,1
Pengembangan Aplikasi Kasir Mobile Yang Efisien,1
Efektivitas penggunaan aplikasi mobile jkn dalam mengurangi antrian,1
Analisis Sentimen Berbasis Aspek pada Aplikasi Mobile Menggunakan Naïve Bayes berdasarkan Ulasan Pengguna Playstore (Studi Kasus: Jconnect Mobile),1
Persepsi manfaat kemudahan terhadap niat dalam penggunaan aplikasi mobile banking,1
Analisis kualitas pelayanan aplikasi mobile JKN BPJS kesehatan menggunakan metode service quality (servqual),1
