doc_id,category,title,document_part,term,term_count,total_terms,tf,df,idf,tfidf_score
3,machine learning,Amnesiac machine learning,abstract,unfortunately,1,22,0.045454545454545456,1,2.3010299956639813,0.10459227253018097
3,machine learning,Amnesiac machine learning,abstract,deep,1,22,0.045454545454545456,14,1.1549019599857433,0.052495543635715604
3,machine learning,Amnesiac machine learning,abstract,neural,1,22,0.045454545454545456,1,2.3010299956639813,0.10459227253018097
3,machine learning,Amnesiac machine learning,abstract,network,1,22,0.045454545454545456,3,1.8239087409443189,0.08290494277019632
4,machine learning,Designing nanotheranostics with machine learning,title,designing,1,4,0.25,1,2.3010299956639813,0.5752574989159953
4,machine learning,Designing nanotheranostics with machine learning,title,nanotheranostics,1,4,0.25,1,2.3010299956639813,0.5752574989159953
4,machine learning,Designing nanotheranostics with machine learning,title,machine,1,4,0.25,54,0.5686362358410126,0.14215905896025316
4,machine learning,Designing nanotheranostics with machine learning,title,learning,1,4,0.25,62,0.5086383061657272,0.1271595765414318
4,machine learning,Designing nanotheranostics with machine learning,abstract,key,1,20,0.05,4,1.6989700043360187,0.08494850021680095
4,machine learning,Designing nanotheranostics with machine learning,abstract,branch,1,20,0.05,1,2.3010299956639813,0.11505149978319906
4,machine learning,Designing nanotheranostics with machine learning,abstract,artificial,1,20,0.05,5,1.6020599913279623,0.08010299956639812
4,machine learning,Designing nanotheranostics with machine learning,abstract,intelligence,1,20,0.05,5,1.6020599913279623,0.08010299956639812
4,machine learning,Designing nanotheranostics with machine learning,abstract,machine,1,20,0.05,54,0.5686362358410126,0.028431811792050635
4,machine learning,Designing nanotheranostics with machine learning,abstract,learning,1,20,0.05,62,0.5086383061657272,0.025431915308286365
4,machine learning,Designing nanotheranostics with machine learning,abstract,ml,1,20,0.05,8,1.3979400086720377,0.06989700043360189
4,machine learning,Designing nanotheranostics with machine learning,abstract,provides,1,20,0.05,6,1.5228787452803376,0.07614393726401689
4,machine learning,Designing nanotheranostics with machine learning,abstract,set,1,20,0.05,3,1.8239087409443189,0.09119543704721594
4,machine learning,Designing nanotheranostics with machine learning,abstract,tools,1,20,0.05,7,1.4559319556497243,0.07279659778248622
4,machine learning,Designing nanotheranostics with machine learning,abstract,capable,1,20,0.05,1,2.3010299956639813,0.11505149978319906
4,machine learning,Designing nanotheranostics with machine learning,abstract,performing,1,20,0.05,1,2.3010299956639813,0.11505149978319906
4,machine learning,Designing nanotheranostics with machine learning,abstract,time,1,20,0.05,4,1.6989700043360187,0.08494850021680095
4,machine learning,Designing nanotheranostics with machine learning,abstract,consuming,1,20,0.05,1,2.3010299956639813,0.11505149978319906
4,machine learning,Designing nanotheranostics with machine learning,abstract,result,1,20,0.05,1,2.3010299956639813,0.11505149978319906
4,machine learning,Designing nanotheranostics with machine learning,abstract,perception,1,20,0.05,1,2.3010299956639813,0.11505149978319906
4,machine learning,Designing nanotheranostics with machine learning,abstract,tasks,1,20,0.05,2,2.0,0.1
4,machine learning,Designing nanotheranostics with machine learning,abstract,thus,1,20,0.05,1,2.3010299956639813,0.11505149978319906
4,machine learning,Designing nanotheranostics with machine learning,abstract,offering,1,20,0.05,2,2.0,0.1
4,machine learning,Designing nanotheranostics with machine learning,abstract,unique,1,20,0.05,1,2.3010299956639813,0.11505149978319906
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,title,machine,1,7,0.14285714285714285,54,0.5686362358410126,0.08123374797728751
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,title,learning,2,7,0.2857142857142857,62,0.5086383061657272,0.1453252303330649
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,title,deep,1,7,0.14285714285714285,14,1.1549019599857433,0.1649859942836776
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,title,janiesch,1,7,0.14285714285714285,1,2.3010299956639813,0.3287185708091402
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,title,et,1,7,0.14285714285714285,2,2.0,0.2857142857142857
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,title,al,1,7,0.14285714285714285,2,2.0,0.2857142857142857
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,abstract,deep,3,19,0.15789473684210525,14,1.1549019599857433,0.18235294105038052
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,abstract,learning,6,19,0.3157894736842105,62,0.5086383061657272,0.16062262299970334
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,abstract,machine,3,19,0.15789473684210525,54,0.5686362358410126,0.08978466881700199
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,abstract,concept,1,19,0.05263157894736842,2,2.0,0.10526315789473684
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,abstract,based,1,19,0.05263157894736842,16,1.0969100130080565,0.05773210594779244
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,abstract,models,1,19,0.05263157894736842,5,1.6020599913279623,0.08431894691199801
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,abstract,outperform,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,abstract,shallow,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,abstract,fundamentals,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
6,machine learning,Machine learning and deep learning: C. Janiesch et al.,abstract,generate,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
7,machine learning,Financial machine learning,title,financial,1,3,0.3333333333333333,1,2.3010299956639813,0.7670099985546603
7,machine learning,Financial machine learning,title,machine,1,3,0.3333333333333333,54,0.5686362358410126,0.1895454119470042
7,machine learning,Financial machine learning,title,learning,1,3,0.3333333333333333,62,0.5086383061657272,0.1695461020552424
7,machine learning,Financial machine learning,abstract,we,2,19,0.10526315789473684,27,0.8696662315049939,0.09154381384263093
7,machine learning,Financial machine learning,abstract,survey,1,19,0.05263157894736842,10,1.3010299956639813,0.06847526292968321
7,machine learning,Financial machine learning,abstract,nascent,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
7,machine learning,Financial machine learning,abstract,literature,1,19,0.05263157894736842,10,1.3010299956639813,0.06847526292968321
7,machine learning,Financial machine learning,abstract,machine,3,19,0.15789473684210525,54,0.5686362358410126,0.08978466881700199
7,machine learning,Financial machine learning,abstract,learning,2,19,0.10526315789473684,62,0.5086383061657272,0.05354087433323444
7,machine learning,Financial machine learning,abstract,study,1,19,0.05263157894736842,14,1.1549019599857433,0.06078431368346017
7,machine learning,Financial machine learning,abstract,financial,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
7,machine learning,Financial machine learning,abstract,markets,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
7,machine learning,Financial machine learning,abstract,grasping,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
7,machine learning,Financial machine learning,abstract,tools,1,19,0.05263157894736842,7,1.4559319556497243,0.07662799766577497
7,machine learning,Financial machine learning,abstract,well,1,19,0.05263157894736842,3,1.8239087409443189,0.09599519689180624
7,machine learning,Financial machine learning,abstract,statisticians,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
7,machine learning,Financial machine learning,abstract,learners,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
7,machine learning,Financial machine learning,abstract,seeking,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
8,machine learning,Open-environment machine learning,title,open,1,4,0.25,7,1.4559319556497243,0.3639829889124311
8,machine learning,Open-environment machine learning,title,environment,1,4,0.25,1,2.3010299956639813,0.5752574989159953
8,machine learning,Open-environment machine learning,title,machine,1,4,0.25,54,0.5686362358410126,0.14215905896025316
8,machine learning,Open-environment machine learning,title,learning,1,4,0.25,62,0.5086383061657272,0.1271595765414318
8,machine learning,Open-environment machine learning,abstract,open,3,21,0.14285714285714285,7,1.4559319556497243,0.20799027937853204
8,machine learning,Open-environment machine learning,abstract,learning,3,21,0.14285714285714285,62,0.5086383061657272,0.07266261516653245
8,machine learning,Open-environment machine learning,abstract,ml,1,21,0.047619047619047616,8,1.3979400086720377,0.0665685718415256
8,machine learning,Open-environment machine learning,abstract,short,1,21,0.047619047619047616,2,2.0,0.09523809523809523
8,machine learning,Open-environment machine learning,abstract,note,1,21,0.047619047619047616,1,2.3010299956639813,0.10957285693638005
8,machine learning,Open-environment machine learning,abstract,name,1,21,0.047619047619047616,1,2.3010299956639813,0.10957285693638005
8,machine learning,Open-environment machine learning,abstract,world,1,21,0.047619047619047616,1,2.3010299956639813,0.10957285693638005
8,machine learning,Open-environment machine learning,abstract,machine,2,21,0.09523809523809523,54,0.5686362358410126,0.05415583198485834
8,machine learning,Open-environment machine learning,abstract,used,1,21,0.047619047619047616,6,1.5228787452803376,0.07251803548953989
8,machine learning,Open-environment machine learning,abstract,refer,1,21,0.047619047619047616,1,2.3010299956639813,0.10957285693638005
8,machine learning,Open-environment machine learning,abstract,unseen,1,21,0.047619047619047616,1,2.3010299956639813,0.10957285693638005
8,machine learning,Open-environment machine learning,abstract,class,1,21,0.047619047619047616,1,2.3010299956639813,0.10957285693638005
8,machine learning,Open-environment machine learning,abstract,outof,1,21,0.047619047619047616,1,2.3010299956639813,0.10957285693638005
8,machine learning,Open-environment machine learning,abstract,distribution,1,21,0.047619047619047616,1,2.3010299956639813,0.10957285693638005
8,machine learning,Open-environment machine learning,abstract,ood,1,21,0.047619047619047616,1,2.3010299956639813,0.10957285693638005
8,machine learning,Open-environment machine learning,abstract,data,1,21,0.047619047619047616,28,0.853871964321762,0.040660569729607715
11,machine learning,Challenges in deploying machine learning: a survey of case studies,title,challenges,1,7,0.14285714285714285,7,1.4559319556497243,0.20799027937853204
11,machine learning,Challenges in deploying machine learning: a survey of case studies,title,deploying,1,7,0.14285714285714285,1,2.3010299956639813,0.3287185708091402
11,machine learning,Challenges in deploying machine learning: a survey of case studies,title,machine,1,7,0.14285714285714285,54,0.5686362358410126,0.08123374797728751
11,machine learning,Challenges in deploying machine learning: a survey of case studies,title,learning,1,7,0.14285714285714285,62,0.5086383061657272,0.07266261516653245
11,machine learning,Challenges in deploying machine learning: a survey of case studies,title,survey,1,7,0.14285714285714285,10,1.3010299956639813,0.1858614279519973
11,machine learning,Challenges in deploying machine learning: a survey of case studies,title,case,1,7,0.14285714285714285,2,2.0,0.2857142857142857
11,machine learning,Challenges in deploying machine learning: a survey of case studies,title,studies,1,7,0.14285714285714285,6,1.5228787452803376,0.21755410646861964
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,survey,1,17,0.058823529411764705,10,1.3010299956639813,0.07653117621552831
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,reviews,1,17,0.058823529411764705,2,2.0,0.11764705882352941
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,published,1,17,0.058823529411764705,1,2.3010299956639813,0.13535470562729301
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,reports,1,17,0.058823529411764705,1,2.3010299956639813,0.13535470562729301
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,deploying,1,17,0.058823529411764705,1,2.3010299956639813,0.13535470562729301
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,machine,3,17,0.17647058823529413,54,0.5686362358410126,0.10034757103076694
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,learning,3,17,0.17647058823529413,62,0.5086383061657272,0.08975970108806952
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,deployment,1,17,0.058823529411764705,2,2.0,0.11764705882352941
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,workflow,1,17,0.058823529411764705,1,2.3010299956639813,0.13535470562729301
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,mapping,1,17,0.058823529411764705,2,2.0,0.11764705882352941
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,found,1,17,0.058823529411764705,1,2.3010299956639813,0.13535470562729301
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,challenges,1,17,0.058823529411764705,7,1.4559319556497243,0.08564305621468966
11,machine learning,Challenges in deploying machine learning: a survey of case studies,abstract,steps,1,17,0.058823529411764705,2,2.0,0.11764705882352941
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",title,machine,1,7,0.14285714285714285,54,0.5686362358410126,0.08123374797728751
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",title,learning,1,7,0.14285714285714285,62,0.5086383061657272,0.07266261516653245
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",title,operations,1,7,0.14285714285714285,1,2.3010299956639813,0.3287185708091402
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",title,mlops,1,7,0.14285714285714285,1,2.3010299956639813,0.3287185708091402
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",title,overview,1,7,0.14285714285714285,6,1.5228787452803376,0.21755410646861964
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",title,definition,1,7,0.14285714285714285,2,2.0,0.2857142857142857
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",title,architecture,1,7,0.14285714285714285,1,2.3010299956639813,0.3287185708091402
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,abstract,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,final,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,goal,1,19,0.05263157894736842,2,2.0,0.10526315789473684
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,all,1,19,0.05263157894736842,5,1.6020599913279623,0.08431894691199801
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,industrial,1,19,0.05263157894736842,2,2.0,0.10526315789473684
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,machine,2,19,0.10526315789473684,54,0.5686362358410126,0.059856445878001326
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,learning,2,19,0.10526315789473684,62,0.5086383061657272,0.05354087433323444
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,ml,2,19,0.10526315789473684,8,1.3979400086720377,0.1471515798602145
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,projects,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,develop,1,19,0.05263157894736842,3,1.8239087409443189,0.09599519689180624
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,paradigm,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,operations,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,mlops,2,19,0.10526315789473684,1,2.3010299956639813,0.24221368375410327
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,addresses,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
12,machine learning,"Machine learning operations (mlops): Overview, definition, and architecture",abstract,issue,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
14,machine learning,A review of the application of machine learning in water quality evaluation,title,review,1,7,0.14285714285714285,24,0.9208187539523752,0.13154553627891075
14,machine learning,A review of the application of machine learning in water quality evaluation,title,application,1,7,0.14285714285714285,35,0.7569619513137056,0.10813742161624365
14,machine learning,A review of the application of machine learning in water quality evaluation,title,machine,1,7,0.14285714285714285,54,0.5686362358410126,0.08123374797728751
14,machine learning,A review of the application of machine learning in water quality evaluation,title,learning,1,7,0.14285714285714285,62,0.5086383061657272,0.07266261516653245
14,machine learning,A review of the application of machine learning in water quality evaluation,title,water,1,7,0.14285714285714285,1,2.3010299956639813,0.3287185708091402
14,machine learning,A review of the application of machine learning in water quality evaluation,title,quality,1,7,0.14285714285714285,8,1.3979400086720377,0.1997057155245768
14,machine learning,A review of the application of machine learning in water quality evaluation,title,evaluation,1,7,0.14285714285714285,6,1.5228787452803376,0.21755410646861964
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,additionally,1,19,0.05263157894736842,2,2.0,0.10526315789473684
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,machine,3,19,0.15789473684210525,54,0.5686362358410126,0.08978466881700199
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,learning,3,19,0.15789473684210525,62,0.5086383061657272,0.08031131149985167
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,can,1,19,0.05263157894736842,11,1.2596373105057561,0.06629670055293453
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,provide,1,19,0.05263157894736842,3,1.8239087409443189,0.09599519689180624
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,solutions,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,water,2,19,0.10526315789473684,1,2.3010299956639813,0.24221368375410327
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,review,1,19,0.05263157894736842,24,0.9208187539523752,0.04846414494486185
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,we,1,19,0.05263157894736842,27,0.8696662315049939,0.04577190692131546
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,describe,1,19,0.05263157894736842,3,1.8239087409443189,0.09599519689180624
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,cases,1,19,0.05263157894736842,2,2.0,0.10526315789473684
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,which,1,19,0.05263157894736842,7,1.4559319556497243,0.07662799766577497
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,approaches,1,19,0.05263157894736842,2,2.0,0.10526315789473684
14,machine learning,A review of the application of machine learning in water quality evaluation,abstract,environments,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
15,machine learning,Research on machine learning with algorithms and development,title,research,1,5,0.2,11,1.2596373105057561,0.25192746210115124
15,machine learning,Research on machine learning with algorithms and development,title,machine,1,5,0.2,54,0.5686362358410126,0.11372724716820254
15,machine learning,Research on machine learning with algorithms and development,title,learning,1,5,0.2,62,0.5086383061657272,0.10172766123314546
15,machine learning,Research on machine learning with algorithms and development,title,algorithms,1,5,0.2,5,1.6020599913279623,0.32041199826559247
15,machine learning,Research on machine learning with algorithms and development,title,development,1,5,0.2,10,1.3010299956639813,0.26020599913279624
15,machine learning,Research on machine learning with algorithms and development,abstract,study,1,17,0.058823529411764705,14,1.1549019599857433,0.06793540941092607
15,machine learning,Research on machine learning with algorithms and development,abstract,provides,1,17,0.058823529411764705,6,1.5228787452803376,0.08958110266354927
15,machine learning,Research on machine learning with algorithms and development,abstract,relatively,1,17,0.058823529411764705,1,2.3010299956639813,0.13535470562729301
15,machine learning,Research on machine learning with algorithms and development,abstract,systematic,1,17,0.058823529411764705,16,1.0969100130080565,0.06452411841223861
15,machine learning,Research on machine learning with algorithms and development,abstract,introduction,1,17,0.058823529411764705,1,2.3010299956639813,0.13535470562729301
15,machine learning,Research on machine learning with algorithms and development,abstract,machine,3,17,0.17647058823529413,54,0.5686362358410126,0.10034757103076694
15,machine learning,Research on machine learning with algorithms and development,abstract,learning,3,17,0.17647058823529413,62,0.5086383061657272,0.08975970108806952
15,machine learning,Research on machine learning with algorithms and development,abstract,firstly,1,17,0.058823529411764705,1,2.3010299956639813,0.13535470562729301
15,machine learning,Research on machine learning with algorithms and development,abstract,then,1,17,0.058823529411764705,2,2.0,0.11764705882352941
15,machine learning,Research on machine learning with algorithms and development,abstract,focuses,1,17,0.058823529411764705,1,2.3010299956639813,0.13535470562729301
15,machine learning,Research on machine learning with algorithms and development,abstract,analysis,1,17,0.058823529411764705,13,1.1870866433571445,0.06982862607983203
15,machine learning,Research on machine learning with algorithms and development,abstract,classical,1,17,0.058823529411764705,1,2.3010299956639813,0.13535470562729301
15,machine learning,Research on machine learning with algorithms and development,abstract,algorithms,1,17,0.058823529411764705,5,1.6020599913279623,0.0942388230192919
16,machine learning,An overview of machine learning classification techniques,title,overview,1,5,0.2,6,1.5228787452803376,0.30457574905606755
16,machine learning,An overview of machine learning classification techniques,title,machine,1,5,0.2,54,0.5686362358410126,0.11372724716820254
16,machine learning,An overview of machine learning classification techniques,title,learning,1,5,0.2,62,0.5086383061657272,0.10172766123314546
16,machine learning,An overview of machine learning classification techniques,title,classification,1,5,0.2,2,2.0,0.4
16,machine learning,An overview of machine learning classification techniques,title,techniques,1,5,0.2,2,2.0,0.4
16,machine learning,An overview of machine learning classification techniques,abstract,statistical,1,19,0.05263157894736842,2,2.0,0.10526315789473684
16,machine learning,An overview of machine learning classification techniques,abstract,learning,5,19,0.2631578947368421,62,0.5086383061657272,0.1338521858330861
16,machine learning,An overview of machine learning classification techniques,abstract,pattern,1,19,0.05263157894736842,2,2.0,0.10526315789473684
16,machine learning,An overview of machine learning classification techniques,abstract,recognition,1,19,0.05263157894736842,4,1.6989700043360187,0.08941947391242204
16,machine learning,An overview of machine learning classification techniques,abstract,machine,3,19,0.15789473684210525,54,0.5686362358410126,0.08978466881700199
16,machine learning,An overview of machine learning classification techniques,abstract,now,1,19,0.05263157894736842,2,2.0,0.10526315789473684
16,machine learning,An overview of machine learning classification techniques,abstract,between,1,19,0.05263157894736842,3,1.8239087409443189,0.09599519689180624
16,machine learning,An overview of machine learning classification techniques,abstract,statistics,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
16,machine learning,An overview of machine learning classification techniques,abstract,evident,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
16,machine learning,An overview of machine learning classification techniques,abstract,core,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
16,machine learning,An overview of machine learning classification techniques,abstract,lies,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
16,machine learning,An overview of machine learning classification techniques,abstract,concept,1,19,0.05263157894736842,2,2.0,0.10526315789473684
16,machine learning,An overview of machine learning classification techniques,abstract,self,1,19,0.05263157894736842,1,2.3010299956639813,0.12110684187705163
50,machine learning,Penerapan Algoritma Machine learning untuk Prediksi Gangguan Kesehatan Mental: Systematic Literature Review,title,terap,1,11,0.09090909090909091,30,0.8239087409443188,0.07490079463130171
50,machine learning,Penerapan Algoritma Machine learning untuk Prediksi Gangguan Kesehatan Mental: Systematic Literature Review,title,algoritma,1,11,0.09090909090909091,9,1.3467874862246563,0.1224352260204233
50,machine learning,Penerapan Algoritma Machine learning untuk Prediksi Gangguan Kesehatan Mental: Systematic Literature Review,title,machine,1,11,0.09090909090909091,54,0.5686362358410126,0.051694203258273876
50,machine learning,Penerapan Algoritma Machine learning untuk Prediksi Gangguan Kesehatan Mental: Systematic Literature Review,title,learning,1,11,0.09090909090909091,62,0.5086383061657272,0.046239846015066116
50,machine learning,Penerapan Algoritma Machine learning untuk Prediksi Gangguan Kesehatan Mental: Systematic Literature Review,title,prediksi,1,11,0.09090909090909091,9,1.3467874862246563,0.1224352260204233
50,machine learning,Penerapan Algoritma Machine learning untuk Prediksi Gangguan Kesehatan Mental: Systematic Literature Review,title,ganggu,1,11,0.09090909090909091,1,2.3010299956639813,0.20918454506036194
50,machine learning,Penerapan Algoritma Machine learning untuk Prediksi Gangguan Kesehatan Mental: Systematic Literature Review,title,sehat,1,11,0.09090909090909091,7,1.4559319556497243,0.1323574505136113
